Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,fetched_at
5850387,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1992,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.8 [3.6-8.7],5.8,3.6,8.7,,2017-11-17T08:25:42+01:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5913200,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1994,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.5 [4.3-9.4],6.5,4.3,9.4,,2017-11-17T08:28:38+01:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5951189,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2000,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.3 [5.2-9.9],7.3,5.2,9.9,,2017-11-17T08:25:42+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5983298,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1991,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.1 [3.8-9.2],6.1,3.8,9.2,,2017-11-17T08:28:38+01:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
6287404,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1996,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.5 [4.3-9.3],6.5,4.3,9.3,,2017-11-17T08:25:42+01:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
6940697,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2005,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.0 [6.4-9.8],8.0,6.4,9.8,,2017-11-17T08:35:00+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7614312,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2009,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.6 [6.1-11.9],8.6,6.1,11.9,,2017-11-17T08:25:42+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7733739,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2009,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.1 [5.6-11.0],8.1,5.6,11.0,,2017-11-17T08:28:38+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7855508,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2005,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.2 [6.0-10.8],8.2,6.0,10.8,,2017-11-17T08:25:42+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7898307,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1985,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.2 [2.6-9.1],5.2,2.6,9.1,,2017-11-17T08:28:38+01:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7905303,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2004,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.7 [5.6-10.3],7.7,5.6,10.3,,2017-11-17T08:28:38+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8184022,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1982,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.8 [2.0-9.3],4.8,2.0,9.3,,2017-11-17T08:28:38+01:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8464701,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1991,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.6 [3.4-8.5],5.6,3.4,8.5,,2017-11-17T08:25:42+01:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9117923,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1990,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.7 [4.0-7.8],5.7,4.0,7.8,,2017-11-17T08:32:23+01:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9478345,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1980,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.7 [1.3-7.8],3.7,1.3,7.8,,2017-11-17T08:25:41+01:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9490836,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1992,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.0 [4.3-8.1],6.0,4.3,8.1,,2017-11-17T08:32:44+01:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9795907,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1994,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.3 [4.7-8.3],6.3,4.7,8.3,,2017-11-17T08:33:05+01:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
10093200,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2002,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.5 [5.5-10.1],7.5,5.5,10.1,,2017-11-17T08:28:38+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
