Year,Is_Forecast,State,Region,Tier,Market_Tier,State_Population,State_Demand,State_Demand_M,State_Revenue,State_Revenue_Cr,State_Patients,State_Prevalence,State_Diagnosis_Rate,State_Treatment_Rate,State_Healthcare_Score,State_Hospitals,State_Priority_Score,Treatment_Gap_M,Opportunity_Cr
2019.0,0.0,Arunachal Pradesh,Northeast,Rural,Tier-5 (Small),1464794.3256177886,1465341.3985950565,1.4653413985950565,22743559.657915164,2.2743559657915164,4014.6339687535797,0.072,0.4260807291666667,0.528400607638889,0.0536024305555555,10.0,1.6071924423969832,0.055343506632096355,24.2404559048582
2019.0,0.0,Sikkim,Northeast,Rural,Tier-5 (Small),640847.5174577825,1273269.7395778224,1.2732697395778223,19762415.987476632,1.9762415987476631,3488.410245418692,0.143,0.41,0.515,0.0,2.0,0.4605232547748404,0.048957608699999995,21.4434326106
2020.0,0.0,Maharashtra,West,Mixed,Tier-3 (Mid),115902177.24170545,194648278.1595413,194.64827815954132,3108748294.4738584,310.8748294473858,533282.953861757,0.118,0.5772771990740742,0.6543976658950618,0.557590663580247,4807.0,87.47099874188623,5.735826282487743,2512.291911729631
2020.0,0.0,West Bengal,East,Mixed,Tier-3 (Mid),91065996.40419714,177563532.19517478,177.5635321951748,2835886004.7046633,283.5886004704663,486475.4306717117,0.137,0.4521843434343435,0.5501536195286195,0.1406144781144781,1164.0,66.84133675648208,6.317130968899253,2766.9033643778725
2020.0,0.0,Tamil Nadu,South,Mixed,Tier-3 (Mid),71748966.8639129,152152427.27805954,152.15242727805955,2430042553.0249653,243.00425530249652,416855.9651453686,0.149,0.5422309027777779,0.6251924189814815,0.4407696759259259,2399.0,67.03248126437484,4.762937769385496,2086.166742990847
2020.0,0.0,Uttar Pradesh,North,Rural,Tier-3 (Mid),220766051.88896275,150817067.8233734,150.8170678233734,2408715385.548752,240.87153855487517,413197.446091434,0.048,0.4588233506944445,0.5556861255787038,0.1627445023148148,3158.0,57.86714121698451,5.321361053434642,2330.756141404373
2020.0,0.0,Kerala,South,Urban,Tier-3 (Mid),33114907.783344414,120182350.92175068,120.18235092175068,1919445072.8591616,191.94450728591616,329266.71485411143,0.255,0.5136313657407408,0.6013594714506173,0.3454378858024691,890.0,52.009646869954,3.933595173780457,1722.91468611584
2020.0,0.0,Bihar,East,Rural,Tier-4 (Emerging),119581611.43985483,105519580.43892272,105.51958043892272,1685264410.3752553,168.52644103752553,289094.7409285554,0.062,0.4343385416666667,0.5352821180555556,0.0811284722222222,1039.0,39.25344053749386,3.835382709550229,1679.8976267830003
2020.0,0.0,Karnataka,South,Mixed,Tier-3 (Mid),62550381.368539445,102377558.19260244,102.37755819260244,1635082839.8429897,163.50828398429897,280486.4608016505,0.115,0.5516099877450981,0.633008323120915,0.4720332924836601,2226.0,48.86700994464744,3.1554661681489002,1382.0941816492184
2020.0,0.0,Gujarat,West,Mixed,Tier-3 (Mid),66229815.56668883,93318060.7157123,93.31806071571229,1490392644.8082902,149.03926448082902,255665.91976907477,0.099,0.6470638020833335,0.7125531684027778,0.7902126736111112,3807.0,54.29064101942651,2.381737341599029,1043.2009556203743
2020.0,0.0,Andhra Pradesh,South,Mixed,Tier-4 (Emerging),48752503.12547927,83957452.77354981,83.9574527735498,1340893382.5975823,134.08933825975822,230020.4185576707,0.121,0.5198663522012579,0.6065552935010482,0.3662211740041928,1380.0,38.963381603502974,2.7222981934838946,1192.366608745946
2020.0,0.0,Rajasthan,North,Rural,Tier-4 (Emerging),75428401.06206228,72999650.18950784,72.99965018950785,1165885155.3663058,116.58851553663058,199999.04161508995,0.068,0.4663382876016261,0.561948573001355,0.18779429200542,1209.0,30.31618919874966,2.5511535794519737,1117.4052677999643
2020.0,0.0,Madhya Pradesh,Central,Rural,Tier-4 (Emerging),80027693.80974899,64922034.66459277,64.92203466459277,1036876701.1229393,103.68767011229393,177868.588122172,0.057,0.4454340277777778,0.5445283564814815,0.1181134259259259,899.0,25.6744560197042,2.328836134982521,1020.0302271223442
2020.0,0.0,Telangana,South,Mixed,Tier-4 (Emerging),35874483.43195645,57695383.498056136,57.69538349805614,921459088.8987284,92.14590888987284,158069.5438302908,0.113,0.5392534722222223,0.6227112268518519,0.4308449074074074,1175.0,30.647444026542694,1.814822437720899,794.8922277217538
2020.0,0.0,Punjab,North,Mixed,Tier-4 (Emerging),28515615.03565769,53165634.75961106,53.16563475961106,849113991.3813787,84.91139913813787,145659.2733140029,0.131,0.5800789650537636,0.6567324708781362,0.5669298835125449,1201.0,32.22555894507172,1.5586396216876537,682.6841542991922
2020.0,0.0,Delhi,North,Urban,Tier-4 (Emerging),19317029.540284242,49211923.43299138,49.21192343299138,785968848.461611,78.5968848461611,134827.1874876476,0.179,0.5322135416666667,0.6168446180555556,0.4073784722222222,601.5,26.848598197312747,1.5654667629441257,685.674442169527
2020.0,0.0,Odisha,East,Rural,Tier-4 (Emerging),43233351.82825521,46763764.43273349,46.76376443273349,746869041.4218874,74.68690414218874,128119.90255543422,0.076,0.4688630319148937,0.5640525265957447,0.1962101063829787,718.0,20.96625809251514,1.628948825035655,713.4795853656169
